month,checks
2021-06,"1,279,300"
2021-05,"1,324,419"
2021-04,"1,694,118"
2021-03,"2,044,136"
2021-02,"1,387,076"
2021-01,"2,052,130"
2020-12,"1,906,916"
2020-11,"1,949,141"
2020-10,"1,769,553"
2020-09,"1,632,918"
2020-08,"1,684,083"
2020-07,"1,848,307"
2020-06,"2,177,586"
2020-05,"1,595,790"
2020-04,"1,678,223"
2020-03,"2,375,525"
2020-02,"1,294,123"
2020-01,"1,171,478"
2019-12,"1,553,965"
2019-11,"1,342,155"
2019-10,"1,105,335"
2019-09,"1,011,636"
2019-08,"1,113,535"
2019-07,"830,579"
2019-06,"924,054"
2019-05,"910,910"
2019-04,"992,642"
2019-03,"1,317,114"
2019-02,"1,109,087"
2019-01,"988,160"
2018-12,"1,494,087"
2018-11,"1,314,193"
2018-10,"1,005,062"
2018-09,"919,979"
2018-08,"966,809"
2018-07,"821,260"
2018-06,"892,479"
2018-05,"904,834"
2018-04,"1,065,927"
2018-03,"1,503,967"
2018-02,"1,271,942"
2018-01,"955,466"
2017-12,"1,621,261"
2017-11,"1,457,103"
2017-10,"1,132,065"
2017-09,"1,019,037"
2017-08,"1,021,227"
2017-07,"907,348"
2017-06,"1,016,213"
2017-05,"988,473"
2017-04,"1,111,596"
2017-03,"1,356,929"
2017-02,"1,298,208"
2017-01,"1,038,365"
2016-12,"1,845,847"
2016-11,"1,662,338"
2016-10,"1,353,299"
2016-09,"1,156,961"
2016-08,"1,151,679"
2016-07,"1,210,731"
2016-06,"1,140,088"
2016-05,"928,532"
2016-04,"1,111,205"
2016-03,"1,289,670"
2016-02,"1,487,274"
2016-01,"1,362,847"
2015-12,"2,235,560"
2015-11,"1,432,451"
2015-10,"1,211,478"
2015-09,"1,071,945"
2015-08,"1,031,959"
2015-07,"946,528"
2015-06,"886,825"
2015-05,"918,707"
2015-04,"987,698"
2015-03,"1,187,823"
2015-02,"1,280,825"
2015-01,"1,052,441"
2014-12,"1,624,524"
2014-11,"1,329,688"
2014-10,"1,174,797"
2014-09,"1,024,272"
2014-08,"989,337"
2014-07,"816,588"
2014-06,"805,571"
2014-05,"877,655"
2014-04,"988,726"
2014-03,"1,224,705"
2014-02,"1,264,010"
2014-01,"970,510"
2013-12,"1,510,529"
2013-11,"1,308,100"
2013-10,"1,113,818"
2013-09,"1,034,701"
2013-08,"1,016,559"
2013-07,"855,259"
2013-06,"872,025"
2013-05,"974,457"
2013-04,"1,185,231"
2013-03,"1,501,730"
2013-02,"1,634,309"
2013-01,"1,790,154"
2012-12,"2,237,731"
